,ds,y
0,2010-01-01,115
1,2010-01-02,53
2,2010-01-03,25
3,2010-01-04,70
4,2010-01-05,56
5,2010-01-06,35
6,2010-01-07,42
7,2010-01-08,22
8,2010-01-09,26
9,2010-01-10,17
10,2010-01-11,11
11,2010-01-12,25
12,2010-01-13,22
13,2010-01-14,23
14,2010-01-15,18
15,2010-01-16,27
16,2010-01-17,94
17,2010-01-18,10
18,2010-01-19,8
19,2010-01-20,13
20,2010-01-21,24
21,2010-01-22,38
22,2010-01-23,19
23,2010-01-24,46
24,2010-01-25,21
25,2010-01-26,11
26,2010-01-27,18
27,2010-01-28,31
28,2010-01-29,158
29,2010-01-30,36
30,2010-01-31,73
31,2010-02-01,29
32,2010-02-02,44
33,2010-02-03,16
34,2010-02-04,25
35,2010-02-05,44
36,2010-02-06,32
37,2010-02-07,24
38,2010-02-08,51
39,2010-02-09,32
40,2010-02-10,31
41,2010-02-11,23
42,2010-02-12,66
43,2010-02-13,38
44,2010-02-14,56
45,2010-02-15,72
46,2010-02-16,100
47,2010-02-17,73
48,2010-02-18,63
49,2010-02-19,258
50,2010-02-20,54
51,2010-02-21,57
52,2010-02-22,59
53,2010-02-23,25
54,2010-02-24,72
55,2010-02-25,40
56,2010-02-26,114
57,2010-02-27,68
58,2010-02-28,74
59,2010-03-01,23
60,2010-03-02,25
61,2010-03-03,34
62,2010-03-04,44
63,2010-03-05,63
64,2010-03-06,93
65,2010-03-07,121
66,2010-03-08,35
67,2010-03-09,47
68,2010-03-10,57
69,2010-03-11,94
70,2010-03-12,211
71,2010-03-13,94
72,2010-03-14,130
73,2010-03-15,113
74,2010-03-16,104
75,2010-03-17,125
76,2010-03-18,127
77,2010-03-19,221
78,2010-03-20,362
79,2010-03-21,271
80,2010-03-22,145
81,2010-03-23,200
82,2010-03-24,220
83,2010-03-25,355
84,2010-03-26,385
85,2010-03-27,245
86,2010-03-28,198
87,2010-03-29,202
88,2010-03-30,486
89,2010-03-31,1052
90,2010-04-01,1116
91,2010-04-02,1490
92,2010-04-03,1945
93,2010-04-04,1965
94,2010-04-05,588
95,2010-04-06,447
96,2010-04-07,458
97,2010-04-08,619
98,2010-04-09,996
99,2010-04-10,1006
100,2010-04-11,531
101,2010-04-12,276
102,2010-04-13,299
103,2010-04-14,238
104,2010-04-15,302
105,2010-04-16,580
106,2010-04-17,535
107,2010-04-18,523
108,2010-04-19,241
109,2010-04-20,287
110,2010-04-21,387
111,2010-04-22,412
112,2010-04-23,601
113,2010-04-24,565
114,2010-04-25,722
115,2010-04-26,407
116,2010-04-27,359
117,2010-04-28,447
118,2010-04-29,468
119,2010-04-30,777
120,2010-05-01,944
121,2010-05-02,627
122,2010-05-03,455
123,2010-05-04,383
124,2010-05-05,542
125,2010-05-06,608
126,2010-05-07,936
127,2010-05-08,1171
128,2010-05-09,1032
129,2010-05-10,697
130,2010-05-11,765
131,2010-05-12,633
132,2010-05-13,950
133,2010-05-14,1050
134,2010-05-15,1118
135,2010-05-16,784
136,2010-05-17,1292
137,2010-05-18,718
138,2010-05-19,768
139,2010-05-20,942
140,2010-05-21,1252
141,2010-05-22,1420
142,2010-05-23,1326
143,2010-05-24,828
144,2010-05-25,677
145,2010-05-26,729
146,2010-05-27,1162
147,2010-05-28,1265
148,2010-05-29,1469
149,2010-05-30,1606
150,2010-05-31,692
151,2010-06-01,694
152,2010-06-02,985
153,2010-06-03,1083
154,2010-06-04,1448
155,2010-06-05,1744
156,2010-06-06,1364
157,2010-06-07,949
158,2010-06-08,727
159,2010-06-09,833
160,2010-06-10,998
161,2010-06-11,1417
162,2010-06-12,1821
163,2010-06-13,1404
164,2010-06-14,768
165,2010-06-15,749
166,2010-06-16,740
167,2010-06-17,828
168,2010-06-18,1632
169,2010-06-19,1422
170,2010-06-20,1227
171,2010-06-21,601
172,2010-06-22,1043
173,2010-06-23,870
174,2010-06-24,1029
175,2010-06-25,1585
176,2010-06-26,1539
177,2010-06-27,1270
